Artist,Song,Year
Sousa's Band,Stars & Stripes Forever,1901
Fisk University Jubilee Quartet,"Swing Low, Sweet Chariot",1909
Enrico Caruso,Vesti La Giubba (On With The Play) (1907),1907
Original Dixieland Jazz Band,Tiger Rag,1918
Sophie Tucker,Some of These Days,1911
Marion Harris,After You've Gone,1919
Al Jolson,Swanee,1920
George Gershwin,Rhapsody in Blue,1924
Paul Whiteman,Whispering,1920
Judy Garland,Over the Rainbow,1939
Glenn Miller,Moonlight Serenade,1939
Artie Shaw,Begin the Beguine,1938
Bing Crosby,White Christmas,1942
Vaughn Monroe,(Ghost) Riders in the Sky,1949
Glenn Miller,In the Mood,1940
Bill Haley & his Comets,Rock Around the Clock,1955
Bobby Darin,Mack the Knife,1959
Elvis Presley,Jailhouse Rock,1957
The Beatles,Hey Jude,1968
The Rolling Stones,(I Can't Get No) Satisfaction,1965
Procol Harum,A Whiter Shade of Pale,1967
Bee Gees,Stayin' Alive,1978
The Beatles,Let it Be,1970
George Harrison,My Sweet Lord,1971
Pink Floyd,Another Brick in the Wall (part 2),1980
Irene Cara,Flashdance... What a Feeling,1983
The Police,Every Breath You Take,1983
Sinead O'Connor,Nothing Compares 2 U,1990
Celine Dion,My Heart Will Go On,1998
Bryan Adams,(Everything I Do) I Do it For You,1991
Eminem,Lose Yourself,2002
Usher,Yeah!,2004
Leona Lewis,Bleeding Love,2008
